subID,gems,bomb,igbias,pGems,chose80,chose60,chose40,chose20,it,lr_pos,lr_neg,sticky,rt_mean,rt_tot
40122129,104,105,4.83333333333333,0.508888888888889,0.319444444444444,0.216666666666667,0.152777777777778,0.311111111111111,2.53116488822232,0.464130085817767,0.000652452843133121,2.19895087137473,1147.49166666667,1147.49166666667
40216437,106,112,0,0.492222222222222,0.238888888888889,0.247222222222222,0.25,0.263888888888889,5.34709268826091,0.98756754759171,0.961418386097119,-0.545235439215702,355.091666666667,355.091666666667
40443417,134,99,4.83333333333333,0.589444444444444,0.466666666666667,0.205555555555556,0.136111111111111,0.191666666666667,5.25456751287295,0.596214809062544,0.665447326900356,2.88295815594741,674.527777777778,674.527777777778
41165686,146,82,2.33333333333333,0.565555555555556,0.361111111111111,0.280555555555556,0.183333333333333,0.175,12.9041507546677,0.27721655937076,0.70683096271011,1.28648133064653,456.730555555556,456.730555555556
42132536,119,98,6,0.571111111111111,0.458333333333333,0.180555555555556,0.119444444444444,0.241666666666667,9.24259263747139,0.415011779894702,0.844548339886153,1.85591407543254,421.519444444444,421.519444444444
42200780,90,75,0,0.575555555555556,0.361111111111111,0.333333333333333,0.127777777777778,0.177777777777778,6.14506725008674,0.259048357346516,0.635176921189764,1.8111687463099,484.425,484.425
42690376,85,73,-0.333333333333333,0.595,0.383333333333333,0.405555555555556,0.0138888888888889,0.197222222222222,1.84412751736962,0.0791833976591533,0.00817989600469745,2.24897190755251,227.7,227.7
42987423,121,114,2.83333333333333,0.523333333333333,0.344444444444444,0.169444444444444,0.244444444444444,0.241666666666667,4.23017418309563,0.0327284535146667,0.259741643424744,3.65360323624435,599.419444444444,599.419444444444
43391910,141,91,0,0.592222222222222,0.233333333333333,0.519444444444444,0.222222222222222,0.025,6.69172361281112,0.546718989470072,0.551419668949307,1.76312045179776,328.833333333333,328.833333333333
43986090,88,134,1,0.449444444444444,0.25,0.119444444444444,0.258333333333333,0.372222222222222,8.56592702423895,0.290229001945657,0.614193633008559,1.43775698274558,315.238888888889,315.238888888889
44155776,117,137,5,0.505,0.311111111111111,0.191666666666667,0.208333333333333,0.288888888888889,6.75593121863291,0.909724388755856,0.80921135713419,1.74666532361507,607.280555555556,607.280555555556
44367503,99,100,4,0.470555555555556,0.155555555555556,0.325,0.236111111111111,0.283333333333333,7.44814088903738,0.2688102164254,0.687158118742398,2.04409073744245,190.519444444444,190.519444444444
44848489,101,62,3.16666666666667,0.607222222222222,0.447222222222222,0.225,0.244444444444444,0.0833333333333333,7.87626316287064,0.544835493355496,0.719621102610217,1.97619485993121,3528.77222222222,3528.77222222222
45060592,130,61,5.66666666666667,0.631111111111111,0.466666666666667,0.341666666666667,0.0722222222222222,0.119444444444444,10.567334997999,0.581313667717678,0.607310356578572,1.86385939044342,280.144444444444,280.144444444444
45240721,40,152,0,0.222777777777778,0.0305555555555556,0.00833333333333333,0.00555555555555556,0.955555555555556,8.77468465660739,0.181453772855873,0.593043540252272,2.08850209923187,111.577777777778,111.577777777778
45342121,161,72,-0.666666666666667,0.630555555555556,0.538888888888889,0.155555555555556,0.225,0.0805555555555556,6.14506772330435,0.58870788811157,0.702185965513877,1.4080528239144,497.836111111111,497.836111111111
46207419,96,121,0.166666666666667,0.463888888888889,0.158333333333333,0.269444444444444,0.305555555555556,0.266666666666667,12.8733029478435,0.417685933024229,0.850634873907086,0.346347718470436,266.063888888889,266.063888888889
46816213,83,128,6,0.439444444444444,0.163888888888889,0.183333333333333,0.338888888888889,0.313888888888889,5.61822022799567,0.378072007828716,0.598247453894574,2.38350856675457,299.1,299.1
49161316,101,96,2.16666666666667,0.488888888888889,0.208333333333333,0.35,0.119444444444444,0.322222222222222,3.47392746192896,0.864138302612747,0.783713650640664,2.07068696040183,342.097222222222,342.097222222222
49343852,152,83,5.33333333333333,0.595555555555556,0.425,0.225,0.252777777777778,0.0972222222222222,16.5673366135502,0.292120374619827,0.777024723923405,0.269284716935193,664.138888888889,664.138888888889
49380017,118,119,1.16666666666667,0.488888888888889,0.155555555555556,0.347222222222222,0.283333333333333,0.213888888888889,9.64137303470419,0.200099097431517,0.739536950038731,1.15265109787361,465.855555555556,465.855555555556
49684556,95,119,4,0.488888888888889,0.236111111111111,0.141666666666667,0.452777777777778,0.169444444444444,3.99999998156838,0.500000020441619,0.500000022514107,4.14911575917666e-07,789.255555555556,789.255555555556
51406574,115,109,0,0.487777777777778,0.333333333333333,0.130555555555556,0.177777777777778,0.358333333333333,12.4309954945041,0.458395332904201,0.778188301547201,0.724053000508239,672.272222222222,672.272222222222
51723243,119,118,3.33333333333333,0.542777777777778,0.319444444444444,0.272222222222222,0.211111111111111,0.197222222222222,3.2232009192764,0.939799031867501,0.722682654470509,0.912763953550022,219.2,219.2
52784545,115,79,5.5,0.567777777777778,0.408333333333333,0.277777777777778,0.0583333333333333,0.255555555555556,12.109111022873,0.359843986343075,0.644732219138882,1.29266411821315,439.775,439.775
53406900,114,113,0,0.487777777777778,0.177777777777778,0.363888888888889,0.177777777777778,0.280555555555556,5.96101147480684,0.624420594893016,0.505057478487764,1.35357643311847,363.136111111111,363.136111111111
53484526,106,153,3.16666666666667,0.466666666666667,0.163888888888889,0.211111111111111,0.419444444444444,0.205555555555556,12.5340955263685,0.532867524972943,0.515795696880899,1.00794480290374,509.797222222222,509.797222222222
54879446,117,117,0.333333333333333,0.468888888888889,0.230555555555556,0.197222222222222,0.258333333333333,0.313888888888889,3.59801869521684,0.00152622962527447,0.419985374582476,1.96884782225139,232.730555555556,232.730555555556
